Feature,Categoria,Faixa / Bin,WoE,Coeficiente,Pontos Scorecard
Comprometimento de Renda (DTI),Financeiro,< 15%,0.9982,-0.9538,109
Comprometimento de Renda (DTI),Financeiro,15% - 25%,0.4928,-0.9538,95
Comprometimento de Renda (DTI),Financeiro,25% - 35%,0.0767,-0.9538,83
Comprometimento de Renda (DTI),Financeiro,35% - 45%,-0.3103,-0.9538,73
Comprometimento de Renda (DTI),Financeiro,>= 45%,-0.9215,-0.9538,56
Atrasos 30-59 Dias (Últimos 24m),Comportamental,0 ocorrências,0.8096,-0.9818,104
Atrasos 30-59 Dias (Últimos 24m),Comportamental,1 ocorrência,-0.1009,-0.9818,78
Atrasos 30-59 Dias (Últimos 24m),Comportamental,2 ocorrências,-0.6272,-0.9818,64
Atrasos 30-59 Dias (Últimos 24m),Comportamental,>= 3 ocorrências,-1.3236,-0.9818,44
Utilização do Rotativo (%),Financeiro,< 20%,0.847,-0.9461,104
Utilização do Rotativo (%),Financeiro,20% - 50%,0.2032,-0.9461,87
Utilização do Rotativo (%),Financeiro,50% - 75%,-0.5072,-0.9461,67
Utilização do Rotativo (%),Financeiro,>= 75%,-1.0533,-0.9461,53
Tempo no Emprego Atual (Anos),Cadastral,< 1 ano,-0.3314,-0.9434,72
Tempo no Emprego Atual (Anos),Cadastral,1 - 3 anos,-0.0668,-0.9434,79
Tempo no Emprego Atual (Anos),Cadastral,3 - 7 anos,0.1665,-0.9434,86
Tempo no Emprego Atual (Anos),Cadastral,>= 7 anos,0.7828,-0.9434,103
Consultas ao Bureau (6 meses),Bureau,0 consultas,0.8367,-0.8101,101
Consultas ao Bureau (6 meses),Bureau,1 - 2 consultas,0.2743,-0.8101,88
Consultas ao Bureau (6 meses),Bureau,3 - 5 consultas,-0.5163,-0.8101,69
Consultas ao Bureau (6 meses),Bureau,>= 6 consultas,-1.5729,-0.8101,45
Faixa Etária (Idade),Cadastral,18 - 25 anos,-0.516,-0.983,67
Faixa Etária (Idade),Cadastral,26 - 35 anos,-0.1136,-0.983,78
Faixa Etária (Idade),Cadastral,36 - 50 anos,0.1452,-0.983,85
Faixa Etária (Idade),Cadastral,> 50 anos,0.3816,-0.983,92
