applicant_id,age,job_tenure,income,requested_amount,dti,revolving_util,delinquency_2y,bureau_inquiries,default
PROP-000001,41,6.3,2682.03,5373.54,13.1,69.3,1,2,0
PROP-000002,25,1.0,6448.43,10640.57,29.3,56.4,1,1,0
PROP-000003,47,2.5,16863.23,24867.42,6.5,49.8,0,4,0
PROP-000004,49,4.3,9028.4,4838.75,6.4,9.6,0,0,0
PROP-000005,18,0.1,6928.99,16773.56,31.8,9.0,0,1,0
PROP-000006,22,2.8,1462.67,2138.55,26.3,46.9,1,2,0
PROP-000007,39,13.3,7422.78,22881.89,49.2,33.0,0,5,0
PROP-000008,34,1.2,5858.31,10728.25,20.2,26.9,0,0,0
PROP-000009,37,7.1,2727.27,5792.6,16.4,9.4,0,1,0
PROP-000010,27,0.1,3661.64,12802.45,29.9,34.5,0,2,0
PROP-000011,48,3.0,4217.83,11754.71,51.0,12.2,2,1,0
PROP-000012,47,3.0,6133.79,21002.5,57.5,48.7,0,5,0
PROP-000013,38,3.2,1871.03,5665.41,43.5,21.6,0,0,0
PROP-000014,51,5.1,4589.12,2514.17,40.2,33.5,0,2,0
PROP-000015,43,2.3,11264.8,18662.28,25.6,38.9,0,2,0
PROP-000016,27,3.1,6125.4,9237.98,33.1,27.3,0,2,0
PROP-000017,42,2.0,2332.07,7386.79,46.6,34.1,0,1,0
PROP-000018,26,3.6,5230.86,8020.41,43.3,22.3,0,2,1
PROP-000019,48,4.9,5942.24,17678.03,19.0,38.0,0,2,0
PROP-000020,37,6.0,1412.0,3467.88,10.5,34.8,0,3,0
PROP-000021,35,2.2,5341.44,6437.03,8.0,37.6,0,0,0
PROP-000022,29,4.0,4488.13,9288.05,25.4,77.1,2,5,0
PROP-000023,52,5.4,1734.36,3401.87,12.9,76.7,0,4,0
PROP-000024,36,12.6,14016.17,10006.49,17.9,34.7,0,2,0
PROP-000025,32,5.8,5357.43,11605.34,29.6,24.2,0,2,0
PROP-000026,33,5.5,3929.65,8028.67,52.5,28.8,0,4,0
PROP-000027,44,5.0,2653.45,8869.53,19.4,12.5,0,2,1
PROP-000028,42,5.7,4752.95,4229.75,8.9,80.7,1,1,0
PROP-000029,42,3.1,5716.8,10875.61,41.5,69.1,2,2,1
PROP-000030,43,12.5,9869.5,6141.96,11.6,54.5,0,3,0
PROP-000031,63,7.1,4147.55,12513.32,8.3,31.9,0,2,0
PROP-000032,33,2.7,1977.86,2777.16,33.7,22.4,0,3,0
PROP-000033,31,5.5,4240.68,12489.94,46.4,82.6,3,3,1
PROP-000034,28,7.0,4219.46,3632.08,16.6,75.2,2,5,0
PROP-000035,45,1.3,11901.63,19929.38,41.4,48.1,1,1,0
PROP-000036,51,2.1,5291.22,10426.75,43.8,62.7,2,2,0
PROP-000037,36,0.1,5594.98,17525.24,29.2,15.7,0,1,1
PROP-000038,27,3.0,3198.38,10416.82,59.8,65.3,2,6,1
PROP-000039,28,2.2,5495.63,16015.92,66.6,30.2,1,4,1
PROP-000040,45,1.7,2686.08,1829.94,36.6,37.7,1,2,0
PROP-000041,46,8.9,4906.2,16386.28,4.4,25.0,0,3,0
PROP-000042,44,3.7,7157.54,21656.97,36.4,42.0,0,2,1
PROP-000043,30,5.1,4411.31,13632.97,68.0,21.1,2,2,0
PROP-000044,40,0.1,8619.59,23857.75,53.2,45.5,1,1,1
PROP-000045,39,2.5,10247.22,14907.21,46.1,44.9,1,0,0
PROP-000046,40,2.1,8793.11,30625.27,19.7,55.3,2,3,1
PROP-000047,48,3.6,4614.09,14475.85,50.9,54.6,2,1,0
